# surface (m^2), prix (euros)
111,326000
156,469000
23,71000
165,485000
155,264000
121,362000
63,148000
150,459000
87,117000
201,322000
116,353000
213,294000
297,885000
273,420000
317,481000
106,314000
166,492000
262,793000
181,542000
121,209000
296,433000
53,124000
113,174000
293,405000
193,322000
207,320000
278,398000
107,136000
314,512000
198,596000
104,308000
304,448000
205,612000
202,615000
89,269000
161,297000
252,758000
218,657000
196,578000
308,462000
291,481000
136,419000
87,145000
139,194000
299,894000
103,169000
250,384000
142,424000
296,491000
168,266000
65,195000
280,388000
160,479000
313,466000
24,78000
217,357000
201,327000
155,219000
73,222000
73,226000
114,221000
200,604000
231,691000
294,881000
272,816000
37,107000
40,127000
241,375000
107,316000
176,297000
127,381000
112,210000
151,450000
124,375000
258,767000
207,627000
117,182000
292,874000
258,775000
184,340000
191,339000
121,365000
108,319000
313,933000
113,213000
174,520000
305,530000
312,480000
161,235000
248,748000
79,216000
265,796000
285,435000
217,379000
236,337000
176,329000
254,760000
260,419000
171,272000
165,489000
210,636000
225,375000
178,267000
135,397000
153,462000
178,538000
174,307000
229,684000
167,252000
154,206000
223,335000
198,306000
85,151000
236,708000
35,108000
268,813000
82,246000
117,225000
75,228000
166,254000
292,878000
193,577000
182,558000
256,767000
86,186000
193,332000
146,435000
301,899000
115,210000
28,76000
284,425000
107,317000
121,179000
107,223000
148,213000
37,45000
48,72000
307,913000
68,112000
93,274000
114,337000
217,656000
118,174000
164,281000
255,388000
185,560000
112,195000
180,309000
104,165000
84,255000
221,382000
279,829000
90,152000
90,272000
89,267000
260,782000
103,307000
198,598000
290,457000
309,455000
257,389000
274,828000
191,570000
29,15000
84,251000
140,414000
245,420000
267,801000
260,428000
271,813000
50,120000
290,432000
131,393000
113,335000
257,783000
70,135000
272,815000
149,445000
255,373000
173,339000
188,264000
260,779000
196,595000
271,811000
131,179000
171,510000
194,294000
258,774000
287,426000
84,246000
136,410000
244,723000
44,100000
147,438000
127,240000
318,484000
248,325000
204,616000
45,139000
187,274000
282,484000
123,371000
108,182000
115,340000
311,932000
70,90000
81,155000
195,586000
265,439000
154,463000
80,245000
82,128000
149,273000
67,194000
136,408000
295,407000
212,636000
289,860000
81,243000
184,555000
43,80000
239,365000
46,76000
191,288000
157,472000
115,169000
309,506000
240,400000
225,358000
90,276000
160,475000
285,847000
248,745000
185,553000
115,198000
309,453000
158,475000
198,321000
130,395000
262,377000
235,427000
48,143000
306,916000
270,808000
148,285000
226,682000
86,181000
248,357000
65,190000
180,536000
79,235000
122,362000
135,412000
240,717000
32,77000
72,126000
197,312000
285,497000
232,344000
165,290000
53,56000
121,116000
170,335000
125,238000
160,481000
81,121000
194,324000
265,409000
240,420000
169,270000
171,253000
26,40000
282,426000
201,308000
276,827000
108,324000
39,147000
262,410000
241,722000
210,632000
202,596000
173,309000
171,282000
61,191000
63,96000
249,363000
46,131000
62,179000
121,187000
202,332000
85,258000
231,330000
134,413000
295,889000
95,285000
176,300000
281,849000
252,435000
41,130000
131,209000
68,174000
109,227000
55,141000
202,337000
243,729000
25,35000
138,407000
135,406000
263,407000
272,467000
165,490000
42,129000
301,905000
238,396000
164,301000
167,252000
25,109000
26,75000
21,52000
193,570000
151,450000
127,154000
110,324000
192,322000
288,441000
22,64000
159,319000
268,803000
200,597000
175,265000
243,734000
48,148000
298,899000
318,540000
289,868000
235,425000
315,948000
285,846000
181,544000
129,382000
126,216000
235,364000
139,249000
188,569000
57,68000
193,323000
47,58000
128,388000
89,258000
315,450000
151,204000
269,802000
193,574000
153,219000
42,82000
132,234000
40,116000
135,406000
278,836000
270,812000
228,686000
199,591000
286,865000
40,72000
48,79000
262,409000
291,876000
172,297000
191,355000
193,327000
162,291000
246,426000
68,138000
271,812000
201,332000
273,823000
314,505000
222,660000
210,348000
211,621000
187,301000
294,482000
169,267000
127,200000
119,227000
137,410000
189,561000
25,77000
181,539000
261,776000
277,404000
221,666000
311,928000
276,831000
150,273000
237,713000
295,884000
135,203000
41,92000
206,621000
244,731000
215,333000
55,120000
48,145000
134,400000
73,213000
49,142000
245,412000
138,416000
166,269000
45,120000
24,47000
257,438000
