# surface (m^2), prix (euros)
40,150000
130,362000
184,267000
48,171000
46,75000
88,260000
67,233000
135,421000
39,86000
119,386000
121,371000
138,186000
50,95000
120,362000
78,127000
99,171000
127,203000
183,583000
72,107000
47,152000
108,387000
84,131000
105,337000
123,152000
190,303000
165,529000
107,332000
94,293000
149,388000
86,74000
125,418000
46,76000
54,181000
123,357000
154,476000
115,192000
171,248000
174,261000
69,107000
119,200000
139,478000
54,162000
210,385000
154,176000
76,197000
106,187000
143,197000
123,339000
56,106000
93,194000
83,123000
42,164000
129,185000
76,123000
91,234000
43,10000
61,70000
86,261000
70,118000
45,56000
98,261000
250,817000
24,110000
119,216000
75,215000
93,102000
119,195000
109,148000
163,509000
128,419000
202,636000
45,183000
79,83000
160,513000
157,469000
89,129000
121,419000
149,209000
76,84000
214,345000
143,200000
86,187000
110,126000
93,150000
25,106000
159,208000
163,215000
62,108000
242,334000
46,96000
117,186000
56,94000
103,352000
139,354000
107,271000
184,523000
111,289000
132,207000
40,120000
36,63000
178,251000
76,186000
98,106000
97,217000
77,89000
83,81000
58,127000
152,207000
244,372000
85,251000
97,125000
195,337000
61,177000
91,254000
88,108000
166,504000
33,112000
101,299000
108,162000
130,199000
158,436000
122,363000
148,177000
60,237000
109,176000
168,457000
160,232000
97,205000
73,204000
144,433000
50,50000
60,142000
143,450000
87,136000
62,105000
36,71000
72,117000
65,102000
121,348000
186,546000
110,332000
83,133000
122,185000
31,104000
88,241000
137,403000
154,207000
151,461000
40,65000
108,185000
137,449000
138,443000
124,372000
117,345000
119,230000
39,75000
181,294000
49,70000
133,190000
175,547000
53,100000
227,320000
63,213000
97,263000
24,58000
152,205000
86,80000
136,262000
173,289000
95,289000
178,285000
191,544000
110,223000
185,293000
72,228000
218,378000
91,295000
64,162000
44,140000
169,548000
98,125000
61,174000
64,201000
83,138000
137,228000
71,143000
95,127000
110,165000
142,168000
144,193000
30,21000
53,180000
150,444000
68,207000
109,299000
91,294000
58,59000
240,379000
88,95000
125,160000
65,192000
174,540000
29,110000
59,167000
127,404000
108,178000
64,183000
112,340000
