#  temps,  intensity
0.00000,0.00000
0.00100,0.00000
0.00200,0.00000
0.00300,0.00001
0.00400,0.00002
0.00501,0.00002
0.00601,0.00003
0.00701,0.00003
0.00801,0.00003
0.00901,0.00002
0.01001,-0.00000
0.01101,-0.00003
0.01201,-0.00007
0.01301,-0.00011
0.01401,-0.00016
0.01502,-0.00021
0.01602,-0.00025
0.01702,-0.00028
0.01802,-0.00029
0.01902,-0.00028
0.02002,-0.00025
0.02102,-0.00020
0.02202,-0.00011
0.02302,-0.00000
0.02402,0.00013
0.02503,0.00027
0.02603,0.00042
0.02703,0.00056
0.02803,0.00069
0.02903,0.00079
0.03003,0.00084
0.03103,0.00085
0.03203,0.00080
0.03303,0.00070
0.03403,0.00053
0.03504,0.00031
0.03604,0.00004
0.03704,-0.00026
0.03804,-0.00057
0.03904,-0.00089
0.04004,-0.00118
0.04104,-0.00142
0.04204,-0.00160
0.04304,-0.00169
0.04404,-0.00169
0.04505,-0.00158
0.04605,-0.00137
0.04705,-0.00105
0.04805,-0.00064
0.04905,-0.00015
0.05005,0.00038
0.05105,0.00093
0.05205,0.00147
0.05305,0.00195
0.05405,0.00236
0.05506,0.00265
0.05606,0.00280
0.05706,0.00279
0.05806,0.00261
0.05906,0.00226
0.06006,0.00175
0.06106,0.00111
0.06206,0.00035
0.06306,-0.00047
0.06406,-0.00131
0.06507,-0.00213
0.06607,-0.00286
0.06707,-0.00347
0.06807,-0.00391
0.06907,-0.00413
0.07007,-0.00413
0.07107,-0.00387
0.07207,-0.00338
0.07307,-0.00266
0.07407,-0.00174
0.07508,-0.00067
0.07608,0.00049
0.07708,0.00168
0.07808,0.00283
0.07908,0.00387
0.08008,0.00472
0.08108,0.00534
0.08208,0.00567
0.08308,0.00569
0.08408,0.00536
0.08509,0.00471
0.08609,0.00375
0.08709,0.00254
0.08809,0.00112
0.08909,-0.00043
0.09009,-0.00201
0.09109,-0.00354
0.09209,-0.00493
0.09309,-0.00608
0.09409,-0.00692
0.09510,-0.00739
0.09610,-0.00744
0.09710,-0.00706
0.09810,-0.00625
0.09910,-0.00505
0.10010,-0.00351
0.10110,-0.00171
0.10210,0.00026
0.10310,0.00228
0.10410,0.00424
0.10511,0.00602
0.10611,0.00750
0.10711,0.00861
0.10811,0.00924
0.10911,0.00937
0.11011,0.00894
0.11111,0.00799
0.11211,0.00654
0.11311,0.00466
0.11411,0.00246
0.11512,0.00004
0.11612,-0.00245
0.11712,-0.00488
0.11812,-0.00710
0.11912,-0.00897
0.12012,-0.01037
0.12112,-0.01122
0.12212,-0.01144
0.12312,-0.01100
0.12412,-0.00991
0.12513,-0.00822
0.12613,-0.00600
0.12713,-0.00337
0.12813,-0.00048
0.12913,0.00252
0.13013,0.00545
0.13113,0.00815
0.13213,0.01044
0.13313,0.01219
0.13413,0.01328
0.13514,0.01363
0.13614,0.01320
0.13714,0.01200
0.13814,0.01007
0.13914,0.00751
0.14014,0.00446
0.14114,0.00107
0.14214,-0.00246
0.14314,-0.00593
0.14414,-0.00914
0.14515,-0.01189
0.14615,-0.01403
0.14715,-0.01540
0.14815,-0.01592
0.14915,-0.01553
0.15015,-0.01423
0.15115,-0.01209
0.15215,-0.00920
0.15315,-0.00572
0.15415,-0.00183
0.15516,0.00225
0.15616,0.00628
0.15716,0.01004
0.15816,0.01330
0.15916,0.01586
0.16016,0.01755
0.16116,0.01828
0.16216,0.01796
0.16316,0.01660
0.16416,0.01426
0.16517,0.01105
0.16617,0.00714
0.16717,0.00275
0.16817,-0.00189
0.16917,-0.00651
0.17017,-0.01084
0.17117,-0.01463
0.17217,-0.01765
0.17317,-0.01971
0.17417,-0.02067
0.17518,-0.02047
0.17618,-0.01908
0.17718,-0.01657
0.17818,-0.01306
0.17918,-0.00874
0.18018,-0.00384
0.18118,0.00137
0.18218,0.00658
0.18318,0.01151
0.18418,0.01586
0.18519,0.01938
0.18619,0.02184
0.18719,0.02308
0.18819,0.02303
0.18919,0.02164
0.19019,0.01899
0.19119,0.01521
0.19219,0.01049
0.19319,0.00510
0.19419,-0.00067
0.19520,-0.00650
0.19620,-0.01204
0.19720,-0.01698
0.19820,-0.02102
0.19920,-0.02392
0.20020,-0.02549
0.20120,-0.02561
0.20220,-0.02427
0.20320,-0.02152
0.20420,-0.01749
0.20521,-0.01240
0.20621,-0.00653
0.20721,-0.00019
0.20821,0.00625
0.20921,0.01242
0.21021,0.01797
0.21121,0.02256
0.21221,0.02592
0.21321,0.02785
0.21421,0.02821
0.21522,0.02695
0.21622,0.02413
0.21722,0.01989
0.21822,0.01445
0.21922,0.00812
0.22022,0.00123
0.22122,-0.00582
0.22222,-0.01263
0.22322,-0.01880
0.22422,-0.02397
0.22523,-0.02783
0.22623,-0.03016
0.22723,-0.03078
0.22823,-0.02964
0.22923,-0.02680
0.23023,-0.02238
0.23123,-0.01663
0.23223,-0.00986
0.23323,-0.00244
0.23423,0.00521
0.23524,0.01265
0.23624,0.01946
0.23724,0.02523
0.23824,0.02963
0.23924,0.03238
0.24024,0.03330
0.24124,0.03234
0.24224,0.02951
0.24324,0.02495
0.24424,0.01892
0.24525,0.01174
0.24625,0.00381
0.24725,-0.00443
0.24825,-0.01250
0.24925,-0.01995
0.25025,-0.02633
0.25125,-0.03128
0.25225,-0.03449
